ARG | Standard | Swiss
ARG | Rapid | Swiss
ARG | Blitz | Swiss
ARM | Standard | Swiss
AZE | Standard | Swiss
BRA | Standard | Swiss
BRA | Rapid | Swiss
BRA | Rapid | RoundRobin
BRA | Blitz | Swiss
CHI | Rapid | Swiss
CHN | Standard | Swiss
CHN | Standard | Swiss
COL | Rapid | Swiss
CZE | Rapid | Swiss
CZE | Rapid | Swiss
ENG | Rapid | Swiss
EU | Standard | Swiss
EU | Standard | RoundRobin
EU | Standard | TeamRoundRobin
EU | Standard | TeamSwiss
EU | Rapid | Swiss
EU | Rapid | RoundRobin
EU | Rapid | TeamRoundRobin
EU | Rapid | TeamSwiss
EU | Blitz | Swiss
EU | Blitz | RoundRobin
GRE | Rapid | Swiss
GRE | Rapid | Swiss
HUN | Rapid | Swiss
IND | Standard | Swiss
IND | Rapid | Swiss
IND | Standard | Swiss
IND | Rapid | Swiss
INA | Rapid | Swiss
IRI | Rapid | Swiss
IRI | Rapid | Swiss
KAZ | Standard | Swiss
KAZ | Rapid | Swiss
KAZ | Standard | Swiss
KAZ | Rapid | Swiss
KAZ | Standard | Swiss
KAZ | Rapid | Swiss
KEN | Rapid | Swiss
MAS | Rapid | Swiss
MEX | Standard | Swiss
MEX | Rapid | Swiss
MEX | Blitz | Swiss
MEX | Standard | Swiss
MEX | Rapid | Swiss
MEX | Blitz | Swiss
MEX | Standard | Swiss
MEX | Rapid | Swiss
MEX | Blitz | Swiss
PER | Standard | Swiss
PER | Rapid | Swiss
PER | Blitz | Swiss
PER | Standard | Swiss
PER | Rapid | Swiss
PER | Blitz | Swiss
PER | Standard | Swiss
PER | Rapid | Swiss
PER | Blitz | Swiss
PHI | Rapid | Swiss
POR | Rapid | Swiss
TUR | Standard | Swiss
TUR | Standard | RoundRobin
TUR | Rapid | Swiss
TUR | Standard | Swiss
TUR | Standard | RoundRobin
TUR | Rapid | Swiss
ROU | Rapid | Swiss
ROU | Rapid | Swiss
RUS | Standard | Swiss
RUS | Standard | RoundRobin
RUS | Rapid | Swiss
RUS | Rapid | RoundRobin
RUS | Rapid | TeamSwiss
RUS | Blitz | Swiss
RUS | Blitz | RoundRobin
RUS | Standard | Swiss
RUS | Standard | RoundRobin
RUS | Rapid | Swiss
RUS | Rapid | RoundRobin
RUS | Rapid | TeamSwiss
RUS | Blitz | Swiss
RUS | Blitz | RoundRobin
RUS | Standard | Swiss
RUS | Standard | RoundRobin
RUS | Rapid | Swiss
RUS | Rapid | RoundRobin
RUS | Rapid | TeamSwiss
RUS | Blitz | Swiss
RUS | Blitz | RoundRobin
SRB | Rapid | Swiss
SVK | Rapid | Swiss
RSA | Standard | Swiss
RSA | Rapid | Swiss
RSA | Standard | Swiss
RSA | Rapid | Swiss
ESP | Rapid | Swiss
ESP | Blitz | Swiss
ESP | Rapid | Swiss
ESP | Blitz | Swiss
ESP | Rapid | Swiss
ESP | Blitz | Swiss
SRI | Standard | Swiss
UKR | Rapid | Swiss
UKR | Rapid | Swiss
VIE | Standard | Swiss
VIE | Rapid | Swiss
VIE | Blitz | Swiss
VIE | Standard | Swiss
VIE | Rapid | Swiss
VIE | Blitz | Swiss
VIE | Standard | Swiss
VIE | Rapid | Swiss
VIE | Blitz | Swiss
ARG | Standard | Swiss
ARG | Rapid | Swiss
ARG | Blitz | Swiss
ARM | Standard | Swiss
AZE | Standard | Swiss
BRA | Standard | Swiss
BRA | Rapid | Swiss
BRA | Rapid | RoundRobin
BRA | Blitz | Swiss
CHI | Rapid | Swiss
CHN | Standard | Swiss
COL | Rapid | Swiss
CZE | Rapid | Swiss
ENG | Rapid | Swiss
EU | Standard | Swiss
EU | Standard | RoundRobin
EU | Standard | TeamRoundRobin
EU | Standard | TeamSwiss
EU | Rapid | Swiss
EU | Rapid | RoundRobin
EU | Rapid | TeamRoundRobin
EU | Rapid | TeamSwiss
EU | Blitz | Swiss
EU | Blitz | RoundRobin
GRE | Rapid | Swiss
HUN | Rapid | Swiss
IND | Standard | Swiss
IND | Rapid | Swiss
INA | Rapid | Swiss
IRI | Rapid | Swiss
KAZ | Standard | Swiss
KAZ | Rapid | Swiss
KEN | Rapid | Swiss
MAS | Rapid | Swiss
MEX | Standard | Swiss
MEX | Rapid | Swiss
MEX | Blitz | Swiss
PER | Standard | Swiss
PER | Rapid | Swiss
PER | Blitz | Swiss
PHI | Rapid | Swiss
POR | Rapid | Swiss
TUR | Standard | Swiss
TUR | Standard | RoundRobin
TUR | Rapid | Swiss
ROU | Rapid | Swiss
RUS | Standard | Swiss
RUS | Standard | RoundRobin
RUS | Rapid | Swiss
RUS | Rapid | RoundRobin
RUS | Rapid | TeamSwiss
RUS | Blitz | Swiss
RUS | Blitz | RoundRobin
SRB | Rapid | Swiss
SVK | Rapid | Swiss
RSA | Standard | Swiss
RSA | Rapid | Swiss
ESP | Rapid | Swiss
ESP | Blitz | Swiss
SRI | Standard | Swiss
UKR | Rapid | Swiss
 | Standard | Swiss
 | Standard | RoundRobin
 | Standard | TeamRoundRobin
 | Standard | TeamSwiss
 | Rapid | Swiss
 | Rapid | RoundRobin
 | Rapid | TeamRoundRobin
 | Rapid | TeamSwiss
 | Blitz | Swiss
 | Blitz | RoundRobin
VIE | Standard | Swiss
VIE | Rapid | Swiss
VIE | Blitz | Swiss
